,difficulty
D1-trn.arff,0.5867833
D10-trn.arff,0.51264966
D100-trn.arff,0.5231129
D101-trn.arff,0.5675835
D102-trn.arff,0.31049058
D103-trn.arff,0.4762965
D104-trn.arff,0.38452214
D105-trn.arff,0.39339706
D106-trn.arff,0.38352013
D107-trn.arff,0.3155717
D108-trn.arff,0.34050938
D109-trn.arff,0.3591799
D11-trn.arff,0.4973906
D110-trn.arff,0.54936004
D111-trn.arff,0.33955783
D112-trn.arff,0.6066562
D113-trn.arff,0.49475116
D114-trn.arff,0.63474405
D115-trn.arff,0.6962049
D116-trn.arff,0.37491333
D117-trn.arff,0.6300879
D118-trn.arff,0.60145056
D119-trn.arff,0.4463466
D12-trn.arff,0.49393058
D120-trn.arff,0.50108254
D121-trn.arff,0.48422542
D122-trn.arff,0.4608531
D123-trn.arff,0.33382738
D124-trn.arff,0.34738022
D126-trn.arff,0.50752187
D127-trn.arff,0.47454557
D129-trn.arff,0.37641802
D13-trn.arff,0.42270094
D131-trn.arff,0.6045853
D132-trn.arff,0.6093385
D133-trn.arff,0.46525064
D134-trn.arff,0.4544775
D135-trn.arff,0.4504786
D136-trn.arff,0.46476778
D137-trn.arff,0.42021137
D138-trn.arff,0.5584203
D139-trn.arff,0.6461641
D14-trn.arff,0.4567358
D140-trn.arff,0.51815826
D141-trn.arff,0.3441469
D142-trn.arff,0.34172112
D143-trn.arff,0.35518733
D144-trn.arff,0.44714108
D145-trn.arff,0.53677154
D146-trn.arff,0.29140905
D147-trn.arff,0.2944806
D148-trn.arff,0.29306513
D149-trn.arff,0.32726648
D15-trn.arff,0.47078905
D150-trn.arff,0.65940934
D151-trn.arff,0.27788597
D152-trn.arff,0.6188062
D153-trn.arff,0.64396274
D154-trn.arff,0.5190523
D155-trn.arff,0.5372857
D156-trn.arff,0.54192156
D157-trn.arff,0.51918936
D158-trn.arff,0.4729027
D159-trn.arff,0.6417923
D16-trn.arff,0.48498803
D160-trn.arff,0.63475615
D161-trn.arff,0.49485675
D162-trn.arff,0.50561255
D163-trn.arff,0.50482476
D164-trn.arff,0.5708548
D165-trn.arff,0.38424158
D167-trn.arff,0.42534024
D168-trn.arff,0.39708266
D169-trn.arff,0.38038462
D17-trn.arff,0.5031576
D170-trn.arff,0.4067367
D171-trn.arff,0.45471305
D172-trn.arff,0.42327803
D173-trn.arff,0.41207796
D174-trn.arff,0.40226525
D176-trn.arff,0.462602
D177-trn.arff,0.6355655
D178-trn.arff,0.5952513
D179-trn.arff,0.4567151
D18-trn.arff,0.5032491
D180-trn.arff,0.45547858
D181-trn.arff,0.55519277
D182-trn.arff,0.6081841
D183-trn.arff,0.5527373
D184-trn.arff,0.28672585
D185-trn.arff,0.33512884
D186-trn.arff,0.50676525
D187-trn.arff,0.46859032
D188-trn.arff,0.29081184
D189-trn.arff,0.6310692
D19-trn.arff,0.40671307
D190-trn.arff,0.5636054
D191-trn.arff,0.5101945
D192-trn.arff,0.5734419
D193-trn.arff,0.59874964
D194-trn.arff,0.61931485
D195-trn.arff,0.5685112
D196-trn.arff,0.6264895
D197-trn.arff,0.5793502
D198-trn.arff,0.6179716
D199-trn.arff,0.507928
D2-trn.arff,0.4830761
D20-trn.arff,0.49688834
D200-trn.arff,0.5072614
D201-trn.arff,0.5886558
D202-trn.arff,0.4858895
D203-trn.arff,0.5855564
D204-trn.arff,0.5365612
D205-trn.arff,0.62093663
D206-trn.arff,0.6125117
D207-trn.arff,0.494515
D208-trn.arff,0.36442858
D209-trn.arff,0.4144959
D21-trn.arff,0.4407839
D210-trn.arff,0.5574169
D211-trn.arff,0.48587292
D212-trn.arff,0.50797904
D213-trn.arff,0.48977095
D214-trn.arff,0.44972175
D215-trn.arff,0.43125
D216-trn.arff,0.5565266
D217-trn.arff,0.53935117
D218-trn.arff,0.6065666
D219-trn.arff,0.5404303
D22-trn.arff,0.6002175
D220-trn.arff,0.46738333
D221-trn.arff,0.58954155
D222-trn.arff,0.43245974
D223-trn.arff,0.5257745
D224-trn.arff,0.50134337
D225-trn.arff,0.5705863
D226-trn.arff,0.5693335
D227-trn.arff,0.45287475
D228-trn.arff,0.42990828
D229-trn.arff,0.5520345
D23-trn.arff,0.51923305
D230-trn.arff,0.5031171
D231-trn.arff,0.3156866
D232-trn.arff,0.49904045
D233-trn.arff,0.55697405
D234-trn.arff,0.5374597
D235-trn.arff,0.57479894
D236-trn.arff,0.5836733
