dataset,F1,F2,F3,F4,L1,L2,L3,N1,N2,N3,N4,T1,T2
fri_c0_500_5.arff,0.9070124867982368,0.8547434850732982,0.94,0.858,0.1224034515300435,0.164,0.172,0.304,0.4024838095616806,0.186,0.312,0.516,0.01
vertebra-column_phpZeLjnh.arff,0.8889945680518779,0.0053267008149629,0.6419354838709678,0.5483870967741935,0.0769512988244096,0.1483870967741936,0.0903225806451613,0.332258064516129,0.4132754533978801,0.2096774193548387,0.2225806451612903,0.535483870967742,0.0193548387096774
fri_c1_1000_25.arff,0.9912103338656132,0.7441163055881046,0.951,0.841,0.1640674249274862,0.3199999999999999,0.293,0.531,0.4904791951940371,0.349,0.284,1.0,0.025
fri_c2_100_25.arff,0.9696320804940276,0.3110694943081702,0.92,0.0,0.1558757290409085,0.17,0.1099999999999999,0.55,0.4903289316507628,0.41,0.21,1.0,0.25
chatfield_4.arff,0.5715701539007957,4.745098322262748e-05,0.3702127659574468,0.1063829787234042,0.0606832968536997,0.0680851063829787,0.051063829787234,0.2340425531914893,0.3636601219501277,0.1489361702127659,0.1957446808510638,0.4595744680851064,0.051063829787234
no2.arff,0.993699348534768,0.3214281881669068,0.962,0.922,0.185858302067383,0.408,0.378,0.598,0.4752485727263008,0.418,0.504,0.826,0.014
fri_c4_500_10.arff,0.9831760562658288,0.2314544062874825,0.94,0.794,0.1730014165672405,0.3239999999999999,0.3219999999999999,0.372,0.4524014344683337,0.22,0.374,0.902,0.02
fri_c1_500_50.arff,0.9943787955363764,0.5750204626497329,0.97,0.496,0.1737533942235293,0.278,0.25,0.572,0.4969720079235762,0.402,0.272,1.0,0.1
fri_c0_250_50.arff,0.9873385578304332,0.4467050969919421,0.96,0.0,0.0957913969713902,0.0799999999999999,0.124,0.572,0.4948907532299125,0.384,0.232,1.0,0.2
fri_c4_1000_10.arff,0.9838343059330452,0.3864883027700435,0.962,0.911,0.1634778121662781,0.354,0.307,0.411,0.4551820396784178,0.256,0.367,0.833,0.01
ecoli.arff,0.7834663498892807,0.0,0.4880952380952381,0.2232142857142857,0.0305594816147116,0.0297619047619047,0.0357142857142857,0.0803571428571428,0.2965744849309393,0.056547619047619,0.2886904761904761,0.1339285714285714,0.0208333333333333
fri_c3_1000_10.arff,0.9842957127319952,0.44067185769118,0.97,0.929,0.1723293422568595,0.3249999999999999,0.309,0.401,0.4587813302299587,0.242,0.355,0.894,0.01
qsar-biodeg_phpGUrE90.arff,0.9521596148894348,0.0,0.9203791469194312,0.6644549763033175,0.0878228637761642,0.1080568720379147,0.1156398104265402,0.2729857819905213,0.3514786288121287,0.1696682464454976,0.4739336492890995,0.376303317535545,0.0388625592417061
fri_c0_100_50.arff,0.9829504991639436,0.1331903499626623,0.86,0.0,0.0,0.0,0.1099999999999999,0.57,0.4938416538497147,0.36,0.26,1.0,0.5
fri_c2_1000_5.arff,0.9185364979713466,0.7553362824100858,0.982,0.965,0.1769904085761949,0.2199999999999999,0.2079999999999999,0.198,0.3645632335488417,0.11,0.335,0.368,0.005
ar6.arff,0.935607850488413,1.964511907787316e-16,0.7821782178217822,0.0,0.0744491551723288,0.0792079207920791,0.089108910891089,0.3366336633663366,0.3375898128280883,0.198019801980198,0.1881188118811881,0.4356435643564356,0.2871287128712871
arsenic-male-bladder.arff,0.9014230534790364,0.0008349432875408,0.9069767441860463,0.3738819320214669,0.0199413560463227,0.0214669051878354,0.0125223613595706,0.0608228980322003,0.1540722012326114,0.0411449016100178,0.0536672629695885,0.071556350626118,0.0071556350626118
fri_c2_250_25.arff,0.9840219006024016,0.4480728965485885,0.948,0.456,0.1694917109242852,0.2279999999999999,0.2199999999999999,0.568,0.492317288850276,0.412,0.316,1.0,0.1
fri_c3_500_25.arff,0.9919025496670084,0.32902701849604,0.956,0.77,0.1722369138354429,0.308,0.302,0.536,0.4899822678521252,0.34,0.286,1.0,0.05
analcatdata_authorship-2.arff,0.8983504892672848,3.8576587480137373e-13,0.7752675386444708,0.0,0.0,0.0,0.0,0.0118906064209274,0.4300226838313257,0.0047562425683709,0.2449464922711058,0.9227110582639716,0.0832342449464922
machine_cpu.arff,0.6774444291526528,0.0002545358824014,0.6555023923444976,0.3827751196172249,0.0433886888084497,0.0478468899521531,0.0191387559808612,0.1004784688995215,0.1986917839338997,0.062200956937799,0.1100478468899521,0.1291866028708134,0.0287081339712918
transplant.arff,0.5110298395280614,0.0,0.0,0.0,0.000378322495161,0.0076335877862595,0.0,0.0305343511450381,0.1304276170356329,0.015267175572519,0.015267175572519,0.0534351145038167,0.0229007633587786
arsenic-female-lung.arff,0.8739560684292069,0.000725282001311,0.7441860465116279,0.1735241502683363,0.0106927896645961,0.0125223613595706,0.0143112701252235,0.033989266547406,0.104833110464171,0.0143112701252236,0.0196779964221824,0.0447227191413237,0.0071556350626118
pm10.arff,0.99881738136508,0.560889144914034,0.99,0.958,0.1758447008393505,0.434,0.4679999999999999,0.624,0.480272630797022,0.416,0.412,0.858,0.014
cpu.arff,0.7064996727983399,8.190200936361676e-05,0.5550239234449761,0.0,0.0042890450536741,0.0047846889952153,0.0,0.1052631578947368,0.1474954099485294,0.0382775119617224,0.1531100478468899,0.0669856459330143,0.0334928229665071
fri_c2_1000_50.arff,0.9918558965898066,0.654763239365471,0.986,0.779,0.1567411886884413,0.261,0.2169999999999999,0.561,0.4960519187636908,0.407,0.266,1.0,0.05
waveform-5000.arff,0.9641853722843828,0.0154977864774852,0.8508,0.7882,0.0934890598057204,0.14,0.0909999999999999,0.2764,0.4742044467221364,0.1988,0.2732,0.9926,0.008
cpu_small.arff,0.843277126473938,3.42341819094734e-06,0.879150390625,0.783203125,0.0610891837805492,0.085205078125,0.045654296875,0.1534423828125,0.3044890239112818,0.0992431640625,0.3038330078125,0.2811279296875,0.00146484375
fri_c2_1000_10.arff,0.9664481670169692,0.8657646117658108,0.991,0.96,0.1752150065174571,0.249,0.259,0.388,0.4558622330214183,0.246,0.32,0.883,0.01
fri_c0_1000_25.arff,0.9811279427752282,0.8864196022579899,0.974,0.864,0.1155173483607501,0.161,0.137,0.516,0.4887099866109573,0.354,0.241,0.999,0.025
mfeat-fourier.arff,0.929759163934553,3.1381198672807624e-21,0.286,0.0,0.0,0.0,0.0,0.001,0.3454537112450013,0.0,0.1905,0.2945,0.038
chscase_census6.arff,0.9984758927639654,0.1631806762474285,0.985,0.94,0.2920353840927476,0.4125,0.4125,0.6675,0.4971312434128839,0.4575,0.4475,0.9,0.015
user-knowledge_phpSOw1Kl.arff,0.769780437342561,0.1192542075074397,0.301201243911196,0.110321665793079,0.0169284661777244,0.0317936721833487,0.0359777295056237,0.347394540942928,0.4058617328630836,0.205955334987593,0.3449131513647642,0.6501240694789082,0.0124069478908188
fri_c1_500_10.arff,0.9777351787003106,0.8516182202510412,0.988,0.93,0.1683089877715774,0.3299999999999999,0.296,0.422,0.4582174591781523,0.256,0.368,0.928,0.02
dataset_40_sonar.arff,0.9585574404564514,1.0453391893464135e-06,0.9471153846153846,0.0,0.0479668816127791,0.0673076923076922,0.1586538461538461,0.2884615384615384,0.4132694797514191,0.1490384615384615,0.2163461538461538,0.7403846153846154,0.2884615384615384
