openml, fri_c0_500_5.arff, f1=0.9070124867982367, f1_std=0.08774516614863478, f2=0.8547434850732982, f2_std=0.0, f3=0.94, f3_std=0.0, f4=0.858, f4_std=0.0, l1=0.1224034515300435, l1_std=0.0, l2=0.16400000000000003, l2_std=0.0, l3=0.17200000000000004, l3_std=0.0, n1=0.304, n1_std=0.0, n2=0.40248380956168067, n2_std=0.10796344144913779, n3=0.186, n3_std=0.38910666917954523, n4=0.312, n4_std=0.4633098315382483, t1=0.516, t1_std=0.0, t2=0.01, t2_std=0.0
openml, vertebra-column_phpZeLjnh.arff, f1=0.8889945680518779, f1_std=0.045515757278190946, f2=0.005326700814962902, f2_std=0.0, f3=0.6419354838709678, f3_std=0.0, f4=0.5483870967741935, f4_std=0.0, l1=0.07695129882440965, l1_std=0.0, l2=0.1483870967741936, l2_std=0.0, l3=0.0903225806451613, l3_std=0.0, n1=0.33225806451612905, n1_std=0.0, n2=0.41327545339788013, n2_std=0.11653617703039619, n3=0.20967741935483872, n3_std=0.4070783698104504, n4=0.22258064516129034, n4_std=0.41597896769052406, t1=0.535483870967742, t1_std=0.0, t2=0.01935483870967742, t2_std=0.0
openml, fri_c1_1000_25.arff, f1=0.9912103338656132, f1_std=0.0199332206327228, f2=0.7441163055881046, f2_std=0.0, f3=0.951, f3_std=0.0, f4=0.841, f4_std=0.0, l1=0.16406742492748627, l1_std=0.0, l2=0.31999999999999995, l2_std=0.0, l3=0.29300000000000004, l3_std=0.0, n1=0.531, n1_std=0.0, n2=0.49047919519403715, n2_std=0.02816439309904689, n3=0.349, n3_std=0.4766539625346673, n4=0.284, n4_std=0.45093680266751346, t1=1.0, t1_std=0.0, t2=0.025, t2_std=0.0
openml, fri_c2_100_25.arff, f1=0.9696320804940275, f1_std=0.07492196032541154, f2=0.3110694943081702, f2_std=0.0, f3=0.92, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.15587572904090852, l1_std=0.0, l2=0.17000000000000004, l2_std=0.0, l3=0.10999999999999999, l3_std=0.0, n1=0.55, n1_std=0.0, n2=0.49032893165076286, n2_std=0.033428805957248495, n3=0.41, n3_std=0.4918333050943175, n4=0.21, n4_std=0.40730823708832603, t1=1.0, t1_std=0.0, t2=0.25, t2_std=0.0
openml, chatfield_4.arff, f1=0.5715701539007957, f1_std=0.13898602096315657, f2=4.745098322262748e-05, f2_std=0.0, f3=0.3702127659574468, f3_std=0.0, f4=0.10638297872340426, f4_std=0.0, l1=0.060683296853699775, l1_std=0.0, l2=0.06808510638297871, l2_std=0.0, l3=0.051063829787234005, l3_std=0.0, n1=0.23404255319148937, n1_std=0.0, n2=0.3636601219501277, n2_std=0.13690774114731658, n3=0.14893617021276595, n3_std=0.35602554320598956, n4=0.19574468085106383, n4_std=0.39677285790434175, t1=0.4595744680851064, t1_std=0.0, t2=0.05106382978723404, t2_std=0.0
openml, no2.arff, f1=0.9936993485347679, f1_std=0.010100327343904475, f2=0.3214281881669068, f2_std=0.0, f3=0.962, f3_std=0.0, f4=0.922, f4_std=0.0, l1=0.18585830206738307, l1_std=0.0, l2=0.40800000000000003, l2_std=0.0, l3=0.378, l3_std=0.0, n1=0.598, n1_std=0.0, n2=0.4752485727263008, n2_std=0.0978374474257137, n3=0.418, n3_std=0.4932301693935601, n4=0.504, n4_std=0.4999839997439918, t1=0.826, t1_std=0.0, t2=0.014, t2_std=0.0
openml, fri_c4_500_10.arff, f1=0.9831760562658289, f1_std=0.041545464754695824, f2=0.23145440628748257, f2_std=0.0, f3=0.94, f3_std=0.0, f4=0.794, f4_std=0.0, l1=0.17300141656724055, l1_std=0.0, l2=0.32399999999999995, l2_std=0.0, l3=0.32199999999999995, l3_std=0.0, n1=0.372, n1_std=0.0, n2=0.4524014344683337, n2_std=0.06584928238082424, n3=0.22, n3_std=0.41424630354415964, n4=0.374, n4_std=0.4838636171484688, t1=0.902, t1_std=0.0, t2=0.02, t2_std=0.0
openml, fri_c1_500_50.arff, f1=0.9943787955363763, f1_std=0.01209355405706564, f2=0.5750204626497329, f2_std=0.0, f3=0.97, f3_std=0.0, f4=0.496, f4_std=0.0, l1=0.1737533942235293, l1_std=0.0, l2=0.278, l2_std=0.0, l3=0.25, l3_std=0.0, n1=0.572, n1_std=0.0, n2=0.49697200792357626, n2_std=0.01717937748785624, n3=0.402, n3_std=0.49030194778320024, n4=0.272, n4_std=0.44498988752554813, t1=1.0, t1_std=0.0, t2=0.1, t2_std=0.0
openml, fri_c0_250_50.arff, f1=0.9873385578304332, f1_std=0.03518340030863565, f2=0.44670509699194216, f2_std=0.0, f3=0.96, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.09579139697139027, l1_std=0.0, l2=0.07999999999999996, l2_std=0.0, l3=0.124, l3_std=0.0, n1=0.572, n1_std=0.0, n2=0.49489075322991255, n2_std=0.01890889733119131, n3=0.384, n3_std=0.4863578929142613, n4=0.232, n4_std=0.42210899066473345, t1=1.0, t1_std=0.0, t2=0.2, t2_std=0.0
openml, fri_c4_1000_10.arff, f1=0.9838343059330452, f1_std=0.03030452189506614, f2=0.3864883027700435, f2_std=0.0, f3=0.962, f3_std=0.0, f4=0.911, f4_std=0.0, l1=0.1634778121662781, l1_std=0.0, l2=0.354, l2_std=0.0, l3=0.30700000000000005, l3_std=0.0, n1=0.411, n1_std=0.0, n2=0.45518203967841786, n2_std=0.06897878112292902, n3=0.256, n3_std=0.4364218143035474, n4=0.367, n4_std=0.4819865143341668, t1=0.833, t1_std=0.0, t2=0.01, t2_std=0.0
openml, ecoli.arff, f1=0.7834663498892807, f1_std=0.18594296583346567, f2=0.0, f2_std=0.0, f3=0.4880952380952381, f3_std=0.0, f4=0.22321428571428573, f4_std=0.0, l1=0.03055948161471167, l1_std=0.0, l2=0.029761904761904767, l2_std=0.0, l3=0.0357142857142857, l3_std=0.0, n1=0.08035714285714286, n1_std=0.0, n2=0.2965744849309393, n2_std=0.11887489806429252, n3=0.05654761904761905, n3_std=0.23097615856980652, n4=0.28869047619047616, n4_std=0.4531537102875715, t1=0.13392857142857142, t1_std=0.0, t2=0.020833333333333332, t2_std=0.0
